year,x1,x2,x3,x4,x5,x6
1999,3831732,181.54,448.19,7571,6212.7,6370241
2000,3913824,214.63,549.97,9038.16,7601.73,6467115
2001,3928907,239.56,686.44,9905.31,8092.82,6560508
2002,4282130,261.58,802.59,10444.6,8767.98,6664862
2003,4453911,283.14,904.57,11255.7,9422.33,6741400
2004,4548852,308.58,1000.69,12018.52,9751.44,6850024
2005,4962579,348.09,1121.13,13966.53,11349.47,7006896
2006,5029338,387.81,1248.29,14694,11467.35,7125979
2007,5070216,453.49,1370.68,13380.47,10671.78,7206229
2008,5210706,533.55,1494.27,15002.59,11570.58,7251888
2009,5407087,598.33,1677.77,16884.16,13120.83,7376720
2010,5744550,665.32,1905.84,18287.24,14468.24,7505322
2011,5994973,738.97,2199.14,19850.66,15444.93,7607220
2012,6236312,877.07,2624.24,22469.22,18951.32,7734787
2013,6529045,1005.37,3187.39,25316.72,20835.95,7841695
2014,6791495,1118.03,3615.77,27609.59,22820.89,7946154
2015,7110695,1304.48,4476.38,30658.49,25011.61,8061370
2016,7431755,1700.87,5243.03,34438.08,28209.74,8145797
2017,7512997,1969.51,5977.27,38053.52,30490.44,8222969
2018,7599295,2110.78,6882.85,42049.14,33156.83,8323096
2019,8142148.24,2235.45,7042.31,43611.84,35046.63,8505522.58
2020,8460489.28,2189.27,8166.92,47792.22,38384.22,8627139.31
